title,author,description,series_details,genres,avg_rating,num_ratings,num_reviews,pages_format,publication_info
What the River Knows,['Isabel Ibañez'],"Bolivian-Argentinian Inez Olivera belongs to the glittering upper society of nineteenth century Buenos Aires, and like the rest of the world, the town is steeped in old world magic that’s been largely left behind or forgotten. Inez has everything a girl might want, except for the one thing she yearns the most: her globetrotting parents—who frequently leave her behind.When she receives word of their tragic deaths, Inez inherits their massive fortune and a mysterious guardian, an archeologist in partnership with his Egyptian brother-in-law. Yearning for answers, Inez sails to Cairo, bringing her sketch pads and an ancient golden ring her father sent to her for safekeeping before he died. But upon her arrival, the old world magic tethered to the ring pulls her down a path where she soon discovers there’s more to her parent’s disappearance than what her guardian led her to believe.With her guardian’s infuriatingly handsome assistant thwarting her at every turn, Inez must rely on ancient magic to uncover the truth about her parent’s disappearance—or risk becoming a pawn in a larger game that will kill her.The Mummy meets Death on the Nile in this lush, immersive historical fantasy set in Egypt filled with adventure, a rivals-to-lovers romance, and a dangerous race.",Book 1 in the Secrets of the Nile series,"['Fantasy', 'Historical Fiction', 'Young Adult', 'Romance', 'Mystery', 'Historical', 'Fiction']",4.0,21519,5538,"416 pages, Hardcover","First published October 31, 2023"
A Study in Drowning,['Ava Reid'],"Effy Sayre has always believed in fairy tales. Haunted by visions of the Fairy King since childhood, she’s had no choice. Her tattered copy of Angharad—Emrys Myrddin’s epic about a mortal girl who falls in love with the Fairy King, then destroys him—is the only thing keeping her afloat. So when Myrddin’s family announces a contest to redesign the late author’s estate, Effy feels certain it’s her destiny. But musty, decrepit Hiraeth Manor is an impossible task, and its residents are far from welcoming. Including Preston Héloury, a stodgy young literature scholar determined to expose Myrddin as a fraud. As the two rivals piece together clues about Myrddin’s legacy, dark forces, both mortal and magical, conspire against them—and the truth may bring them both to ruin.",,"['Fantasy', 'Young Adult', 'Romance', 'Gothic', 'Mystery', 'Fiction', 'Young Adult Fantasy']",3.88,31628,7776,"378 pages, Hardcover","First published September 19, 2023"
Foxglove,['Adalyn  Grace'],"The captivating sequel to the Gothic-infused Belladonna, in which Signa and Death face a supernatural foe determined to tear them apart.A duke has been murdered. The lord of Thorn Grove has been framed. And Fate, the elusive brother of Death, has taken up residence in a sumptuous estate nearby. He's hellbent on revenge after Death took the life of the woman he loved many years ago...and now he's determined to have Signa for himself, no matter the cost.Signa and her cousin Blythe are certain that Fate can save Elijah Hawthorne from prison if they will entertain his presence. But the more time the girls spend with Fate, the more frightening their reality becomes as Signa exhibits dramatic new powers that link her to Fate's past. With mysteries and danger around every corner, the cousins must decide if they can trust one another as they navigate their futures in high society, unravel the murders that haunt their family, and play Fate's unexpected games--all with their destinies hanging in the balance.Dangerous, suspenseful, and seductive, this sequel to the story of Signa and Death is as utterly romantic as it is perfectly deadly.",Book 2 in the Belladonna series,"['Fantasy', 'Romance', 'Young Adult', 'Gothic', 'Mystery', 'Paranormal', 'Young Adult Fantasy']",4.2,21228,3836,"464 pages, Hardcover","First published August 22, 2023"
These Infinite Threads,['Tahereh Mafi'],"With the heat of a kiss, the walls between Alizeh, the long-lost heir to an ancient Jinn kingdom, and Kamran, the crown prince of the Ardunian empire, have crumbled. And so have both of their lives.Kamran’s grandfather, the king of Ardunia, lays dead, the terrible secret of his deal with the devil exposed to the world. Cyrus, the mysterious copper-haired royal, has stolen Alizeh away to Tulan, the neighboring kingdom where he rules. Cyrus has made his own deal with the devil—one that would require Alizeh to betray her feelings for Kamran if she’s to reclaim the Jinn throne.Alizeh wants nothing to do with Cyrus, or his deal with Iblees. But with no means of escaping Tulan, and with the tantalizing promise of fulfilling her destiny as the heir to the Jinn, she’s forced to wonder whether she can set aside her emotions—and finally become the queen her people need.Kamran, meanwhile, is picking up the pieces of his broken kingdom. Facing betrayal at every turn, all he knows for certain is that he must go to Tulan to avenge his grandfather. He can only hope that Alizeh will be waiting for him there—and that she’s not yet become queen of Tulan.",Book 2 in the This Woven Kingdom  series,"['Fantasy', 'Young Adult', 'Romance', 'Young Adult Fantasy', 'Fantasy Romance', 'Fiction', 'Mythology']",4.13,21689,4194,"416 pages, Hardcover","First published February 7, 2023"
Foul Heart Huntsman,['Chloe Gong'],"From the #1 New York Times bestselling author of These Violent Delights and Our Violent Ends comes the second book in the captivating Foul Lady Fortune duology following an immortal assassin in 1930s Shanghai as she races to save her country and her love.Winter is drawing thick in 1932 Shanghai, as is the ever-nearing threat of a Japanese invasion.Rosalind Lang has suffered the worst possible fate for a national spy: she’s been exposed. With the media storm camped outside her apartment for the infamous Lady Fortune, she’s barely left her bedroom in weeks, plotting her next course of action after Orion was taken and his memories of Rosalind wiped. Though their marriage might have been a sham, his absence hurts her more than any physical wound. She won’t rest until she gets him back.But with her identity in the open, the task is near impossible. The only way to leave the city and rescue Orion is under the guise of a national tour. It’s easy to convince her superiors that the countryside needs unity more than ever, and who better than an immortal girl to stir pride and strength into the people?When the tour goes wrong, however, everything Rosalind once knew is thrown up in the air. Taking refuge outside Shanghai, old ghosts come into the open and adversaries turn to allies. To save Orion, they must find a cure to his mother’s traitorous invention and take this dangerous chemical weapon away from impending foreign invasion—but the clock is ticking, and if Rosalind fails, it’s not only Orion she loses, but her nation itself.",Book 2 in the Foul Lady Fortune series,"['Fantasy', 'Historical Fiction', 'Romance', 'Young Adult', 'Historical', 'Mystery', 'Fiction']",4.39,6806,1663,"560 pages, Hardcover","First published September 26, 2023"
"Song of Silver, Flame Like Night",['Amélie Wen Zhao'],"In a fallen kingdom, one girl carries the key to discovering the secrets of her nation’s past—and unleashing the demons that sleep at its heart. An epic fantasy series inspired by the mythology and folklore of ancient China.Once, Lan had a different name. Now she goes by the one the Elantian colonizers gave her when they invaded her kingdom, killed her mother, and outlawed her people’s magic. She spends her nights as a songgirl in Haak’gong, a city transformed by the conquerors, and her days scavenging for what she can find of the past. Anything to understand the strange mark burned into her arm by her mother in her last act before she died.The mark is mysterious—an untranslatable Hin character—and no one but Lan can see it. Until the night a boy appears at her teahouse and saves her life.Zen is a practitioner—one of the fabled magicians of the Last Kingdom. Their magic was rumored to have been drawn from the demons they communed with. Magic believed to be long lost. Now it must be hidden from the Elantians at all costs.When Zen comes across Lan, he recognizes what she is: a practitioner with a powerful ability hidden in the mark on her arm. He’s never seen anything like it—but he knows that if there are answers, they lie deep in the pine forests and misty mountains of the Last Kingdom, with an order of practitioning masters planning to overthrow the Elantian regime.Both Lan and Zen have secrets buried deep within—secrets they must hide from others, and secrets that they themselves have yet to discover. Fate has connected them, but their destiny remains unwritten. Both hold the power to liberate their land. And both hold the power to destroy the world. Now the battle for the Last Kingdom begins.",Book 1 in the Song of the Last Kingdom series,"['Fantasy', 'Young Adult', 'Mythology', 'Romance', 'Young Adult Fantasy', 'Dragons', 'Fiction']",3.83,8206,2194,"512 pages, Paperback","First published January 3, 2023"
Threads That Bind,['Kika Hatzopoulou'],"In a world where the children of the gods inherit their powers, a descendant of the Greek Fates must solve a series of impossible murders to save her sisters, her soulmate, and her city.Descendants of the Fates are always born in threes: one to weave, one to draw, and one to cut the threads that connect people to the things they love and to life itself. The Ora sisters are no exception. Io, the youngest, uses her Fate-born abilities as a private investigator in the half-sunken city of Alante.But her latest job leads her to a horrific discovery: somebody is abducting women, maiming their life-threads, and setting the resulting wraiths loose in the city to kill. To find the culprit, she must work alongside Edei Rhuna, the right hand of the infamous Mob Queen—and the boy with whom she shares a rare fate-thread linking them as soul mates before they’ve even met.But the investigation turns personal when Io's estranged oldest sister turns up on the arm of her best suspect. Amid unveiled secrets from her past and her growing feelings for Edei, Io must follow clues through the city’s darkest corners and unearth a conspiracy that involves some of the city’s most powerful players—before destruction comes to her own doorstep.",Book 1 in the Threads That Bind series,"['Fantasy', 'Mythology', 'Young Adult', 'Mystery', 'Romance', 'Greek Mythology', 'Young Adult Fantasy']",3.96,7060,1816,"352 pages, Hardcover","First published May 30, 2023"
Delicious Monsters,['Liselle Sambury'],"The Haunting of Hill House meets Sadie in this evocative and mind-bending psychological thriller following two teen girls navigating the treacherous past of a mysterious mansion ten years apart.Daisy sees dead people—something impossible to forget in bustling, ghost-packed Toronto. She usually manages to deal with her unwanted ability, but she’s completely unprepared to be dumped by her boyfriend. So when her mother inherits a secluded mansion in northern Ontario where she spent her childhood summers, Daisy jumps at the chance to escape. But the house is nothing like Daisy expects, and she begins to realize that her experience with the supernatural might be no match for her mother’s secrets, nor what lurks within these walls… A decade later, Brittney is desperate to get out from under the thumb of her abusive mother, a bestselling author who claims her stay at “Miracle Mansion” allowed her to see the error of her ways. But Brittney knows that’s nothing but a sham. She decides the new season of her popular Haunted web series will uncover what happened to a young Black girl in the mansion ten years prior and finally expose her mother’s lies. But as she gets more wrapped up in the investigation, she’ll have to decide: if she can only bring one story to light, which one matters most—Daisy’s or her own? As Brittney investigates the mansion in the present, Daisy’s story runs parallel in the past, both timelines propelling the girls to face the most dangerous monsters of all: those that hide in plain sight.",,"['Horror', 'Young Adult', 'Fantasy', 'Mystery', 'Thriller', 'Paranormal', 'Fiction']",4.08,4150,1026,"512 pages, Hardcover","First published February 28, 2023"
House of Roots and Ruin,['Erin A. Craig'],"A modern masterpiece, this is a classic Gothic thriller-fantasy from New York Times bestselling author Erin A. Craig, about doomed love, menacing ambition, and the ghosts that haunt us forever.In a manor by the sea, one sister is still cursed.Despite dreams of adventures far beyond the Salann shores, seventeen-year-old Verity Thaumas has remained at her family’s estate, Highmoor, with her older sister Camille, while their sisters have scattered across Arcannia.When their sister Mercy sends word that the Duchess of Bloem—wife of a celebrated botanist—is interested in having Verity paint a portrait of her son, Alexander, Verity jumps at the chance, but Camille won’t allow it. Forced to reveal the secret she’s kept for years, Camille tells Verity the truth one day: Verity is still seeing ghosts, she just doesn’t know it.Stunned, Verity flees Highmoor that night and—with nowhere else to turn—makes her way to Bloem. At first, she is captivated by the lush, luxurious landscape and is quickly drawn to charming, witty, and impossibly handsome Alexander Laurent. And soon, to her surprise, a romance . . . blossoms.But it’s not long before Verity is plagued with nightmares, and the darker side of Bloem begins to show through its sickly-sweet façade. . . .",Book 2 in the Sisters of the Salt series,"['Fantasy', 'Young Adult', 'Horror', 'Gothic', 'Romance', 'Mystery', 'Young Adult Fantasy']",4.17,8437,1860,"544 pages, Library Binding","First published July 25, 2023"
Spice Road,['Maiya Ibrahim'],"The first book in an epic fantasy series set in an Arabian-inspired land with secret spice magic. Raised to protect her nation from the monsters lurking in the sands, sixteen-year-old Imani must fight to find her brother, whose betrayal is now the country's greatest threat.In the hidden desert city of Qalia, there is secret spice magic that awakens the affinities of those who drink the misra tea. Sixteen-year-old Imani has the affinity for iron and is able to wield a dagger like no other warrior. She has garnered the reputation as being the next great Shield for battling djinn, ghouls, and other monsters spreading across the sands.Her reputation has been overshadowed, however, by her brother, who tarnished the family name after it was revealed that he was stealing his nation's coveted spice--a telltale sign of magical obsession. Soon after that, he disappeared, believed to have died beyond the Forbidden Wastes. Despite her brother's betrayal, there isn't a day that goes by when Imani doesn't grieve him.But when Imani discovers signs that her brother may be alive and spreading the nation's magic to outsiders, she makes a deal with the Council that she will find him and bring him back to Qalia, where he will face punishment. Accompanied by other Shields, including Taha, a powerful beastseer who can control the minds of falcons, she sets out on her mission.Imani will soon find that many secrets lie beyond the Forbidden Wastes--and in her own heart--but will she find her brother?",Book 1 in the The Spice Road Trilogy series,"['Fantasy', 'Young Adult', 'Young Adult Fantasy', 'Magic', 'Fiction', 'Romance', 'Mythology']",3.72,4268,1203,"464 pages, Hardcover","First published January 24, 2023"
Blood Debts,['Terry J. Benton-Walker'],"Thirty years ago, a young woman was murdered, a family was lynched, and New Orleans saw the greatest magical massacre in its history. In the days that followed, a throne was stolen from a queen.On the anniversary of these brutal events, Clement and Cristina Trudeau—the sixteen-year-old twin heirs to the powerful, magical, dethroned family—are mourning their father and caring for their sick mother. Until, by chance, they discover their mother isn’t sick—she’s cursed. Cursed by someone on the very magic council their family used to rule. Someone who will come for them next.Cristina, once a talented and dedicated practitioner of Generational magic, has given up magic for good. An ancient spell is what killed their father and she was the one who cast it. For Clement, magic is his lifeline. A distraction from his anger and pain. Even better than the random guys he hooks up with.Cristina and Clement used to be each other’s most trusted confidant and friend, now they barely speak. But if they have any hope of discovering who is coming after their family, they’ll have to find a way to trust each other and their family's magic, all while solving the decades-old murder that sparked the still-rising tensions between the city’s magical and non-magical communities. And if they don't succeed, New Orleans may see another massacre. Or worse.Terry J. Benton-Walker's contemporary fantasy debut, Blood Debts, with powerful magical families, intergenerational curses, and deadly drama in New Orleans.",Book 1 in the Blood Debts series,"['Fantasy', 'Young Adult', 'LGBT', 'Mystery', 'Queer', 'Young Adult Fantasy', 'Magic']",3.79,2651,974,"416 pages, Hardcover","First published April 4, 2023"
Silver in the Bone,['Alexandra Bracken'],"A series opener inspired by Arthurian legend and fueled by love, revenge, and pure adrenaline!Tamsin Lark didn’t ask to be a Hollower. As a mortal with no magical talent, she was never meant to break into ancient crypts, or compete with sorceresses and Cunningfolk for the treasures inside. But after her thieving foster father disappeared without so much as a goodbye, it was the only way to keep herself—and her brother, Cabell—alive.Ten years later, rumors are swirling that her guardian vanished with a powerful ring from Arthurian legend. A run-in with her rival Emrys ignites Tamsin’s hope that the ring could free Cabell from a curse that threatens both of them. But they aren’t the only ones who covet the ring.As word spreads, greedy Hollowers start circling, and many would kill to have it for themselves. While Emrys is the last person Tamsin would choose to partner with, she needs all the help she can get to edge out her competitors in the race for the ring. Together, they dive headfirst into a vipers’ nest of dark magic, exposing a deadly secret with the power to awaken ghosts of the past and shatter her last hope of saving her brother. . . .",Book 1 in the Silver in the Bone series,"['Fantasy', 'Young Adult', 'Mythology', 'Young Adult Fantasy', 'Romance', 'Retellings', 'Fiction']",3.92,7244,1827,"480 pages, Hardcover","First published April 4, 2023"
The Scarlet Veil,['Shelby Mahurin'],"This dark and thrilling vampire romance—set in the world of the New York Times bestselling Serpent & Dove series—is perfect for fans of Sarah J. Maas!Célie Tremblay has always been a good girl: kind and beautiful, a daughter of whom every parent would be proud. She surprises the entire kingdom when she defies tradition to become the first huntswoman—including her new captain and fiancé, Jean Luc, who rules the huntsmen with an iron fist. He isn’t the only one concerned for Célie’s safety, however. Though her friends try to protect her from the horrors of her past, mysterious whispers still haunt her, and a new evil is rising in Belterra—leaving bodies in its wake, each one drained of blood.Determined to prove herself in her new role, Célie tracks the killer to the lair of Les Éternels—ancient creatures only spoken about in nursery rhymes—and catches the attention of their king, a monster who hides his plans for her behind beautiful words and sharp smiles. Now Célie has new reason to fear the dark because the closer he gets, the more tempted she feels to give in to his dark hunger—and her own.",Book 1 in the The Scarlet Veil series,"['Fantasy', 'Vampires', 'Romance', 'Young Adult', 'Paranormal', 'Young Adult Fantasy', 'Fantasy Romance']",4.19,4807,1206,"640 pages, Hardcover","First published September 26, 2023"
Bring Me Your Midnight,['Rachel  Griffin'],"From the New York Times bestselling author of The Nature of Witches and Wild is the Witch comes a lush romantic fantasy about forbidden love, the choices we make, and the pull between duty and desire.Tana Fairchild’s fate has never been in question. Her life has been planned out since the moment she was born: she is to marry the governor’s son, Landon, and secure an unprecedented alliance between the witches of her island home and the mainlanders who see her very existence as a threat.Tana’s coven has appeased those who fear their power for years by releasing most of their magic into the ocean during the full moon. But when Tana misses the midnight ritual—a fatal mistake—there is no one she can turn to for help…until she meets Wolfe. Wolfe claims he is from a coven that practices dark magic, making him one of the only people who can help her. But he refuses to let Tana’s power rush into the sea, and instead teaches her his forbidden magic. A magic that makes her feel powerful. Alive. As the sea grows more violent, her coven loses control of the currents, a danger that could destroy the alliance as well as her island. Tana will have to choose between love and duty, between loyalty to her people and loyalty to her heart. Marrying Landon would secure peace for her coven but losing Wolfe and his wild magic could cost her everything else.",,"['Fantasy', 'Romance', 'Young Adult', 'Witches', 'Young Adult Fantasy', 'Magic', 'Fantasy Romance']",4.01,5603,1725,"402 pages, Hardcover","First published August 1, 2023"
House of Marionne,['J. Elle'],"Rich is the blood of the chosen17 year-old Quell has lived her entire life on the run. She and her mother have fled from city to city, in order to hide the deadly magic that flows through Quell’s veins. Until someone discovers her dark secret.To hide from the assassin hunting her, and keep her mother out of harm’s way, Quell reluctantly inducts into a debutante society of magical social elites called the Order that she never knew existed. If she can pass their three rites of membership, mastering their proper form of magic, she’ll be able to secretly bury her forbidden magic forever. If caught, she will be killed.But becoming the perfect debutante is a lot harder than Quell imagined, especially when there’s more than tutoring happening with Jordan, her brooding mentor and— assassin in training. When Quell uncovers the deadly lengths the Order will go to defend its wealth and power, she’s forced to choose: embrace the dark magic she’s been running from her entire life or risk losing everything, and everyone, she’s grown to love.Still, she fears the most formidable monster she’ll have to face is the one inside.",Book 1 in the House of Marionne series,"['Fantasy', 'Young Adult', 'Romance', 'Young Adult Fantasy', 'Magic', 'Fiction', 'Fantasy Romance']",3.61,2991,857,"400 pages, Hardcover","First published August 29, 2023"
Check & Mate,['Ali Hazelwood'],"In this clever and swoonworthy YA debut from the New York Times bestselling author of The Love Hypothesis, life's moving pieces bring rival chess players together in a match for the heart.Mallory Greenleaf is done with chess. Every move counts nowadays; after the sport led to the destruction of her family four years earlier, Mallory's focus is on her mom, her sisters, and the dead-end job that keeps the lights on. That is, until she begrudgingly agrees to play in one last charity tournament and inadvertently wipes the board with notorious ""Kingkiller"" Nolan Sawyer: current world champion and reigning Bad Boy of chess.Nolan's loss to an unknown rook-ie shocks everyone. What's even more confusing? His desire to cross pawns again. What kind of gambit is Nolan playing? The smart move would be to walk away. Resign. Game over. But Mallory's victory opens the door to sorely needed cash-prizes and despite everything, she can't help feeling drawn to the enigmatic strategist....As she rockets up the ranks, Mallory struggles to keep her family safely separated from the game that wrecked it in the first place. And as her love for the sport she so desperately wanted to hate begins to rekindle, Mallory quickly realizes that the games aren't only on the board, the spotlight is brighter than she imagined, and the competition can be fierce (-ly attractive. And intelligent...and infuriating...)",,"['Romance', 'Young Adult', 'Contemporary', 'Fiction', 'Contemporary Romance', 'Audiobook', 'New Adult']",4.03,120161,22171,"352 pages, Paperback","First published November 7, 2023"
The Brothers Hawthorne,['Jennifer Lynn Barnes'],"Four brothers. Two missions. One explosive read. Jennifer Lynn Barnes returns to the world of her #1 bestselling Inheritance Games trilogy, and the stakes have never been higher.    Grayson Hawthorne was raised as the heir apparent to his billionaire grandfather, taught from the cradle to put family first. Now the great Tobias Hawthorne is dead and his family disinherited, but some lessons linger. When Grayson’s half-sisters find themselves in trouble, he swoops in to do what he does best: take care of the problem—efficiently, effectively, mercilessly. And without getting bogged down in emotional entanglements.  Jameson Hawthorne is a risk-taker, a sensation-seeker, a player of games. When his mysterious father appears and asks for a favor, Jameson can’t resist the challenge. Now he must infiltrate London’s most exclusive underground gambling club, which caters to the rich, the powerful, and the aristocratic, and win an impossible game of greatest stakes. Luckily, Jameson Hawthorne lives for impossible.   Drawn into twisted games on opposite sides of the globe, Grayson and Jameson—with the help of their brothers and the girl who inherited their grandfather’s fortune—must dig deep to decide who they want to be and what each of them will sacrifice to win.",Book 4 in the The Inheritance Games series,"['Mystery', 'Young Adult', 'Romance', 'Fiction', 'Mystery Thriller', 'Contemporary', 'Fantasy']",3.99,57701,7835,"480 pages, Hardcover","First published August 29, 2023"
Five Survive,['Holly  Jackson'],"Red Kenny is on a road trip for spring break with five friends: Her best friend - the older brother - his perfect girlfriend - a secret crush - a classmate - and a killer. When their RV breaks down in the middle of nowhere with no cell service, they soon realize this is no accident. They have been trapped by someone out there in the dark, someone who clearly wants one of them dead.With eight hours until dawn, the six friends must escape, or figure out which of them is the target. But is there a liar among them? Buried secrets will be forced to light and tensions inside the RV will reach deadly levels. Not all of them will survive the night...Eight hours. Six friends. Five survive. A road trip turns deadly in this addictive YA thriller from the bestselling author of the worldwide phenomenon A GOOD GIRL'S GUIDE TO MURDER.",,"['Mystery', 'Thriller', 'Young Adult', 'Mystery Thriller', 'Fiction', 'Audiobook', 'Contemporary']",4.08,115025,20539,"388 pages, Hardcover","First published November 29, 2022"
One of Us Is Back,['Karen M. McManus'],"The explosive third and final thrilling instalment in the acclaimed One of Us... series. Ever since Simon died in detention, life hasn't been easy for the Bayview Crew. First the Bayview Four had to prove they weren't killers. Then a new generation had to outwit a vengeful copycat. Now, it's beginning again. At first the mysterious billboard seems like a bad joke: Time for a new game, Bayview. But when a member of the crew disappears, it's clear this 'game' just got serious - and no one understands the rules.Everyone's a target. And now that someone unexpected has returned to Bayview, things are starting to get deadly. The thing is, Simon was right about secrets – they all come out, eventually. And Bayview has a lot it's still hiding.",Book 3 in the One of Us Is Lying series,"['Mystery', 'Young Adult', 'Thriller', 'Mystery Thriller', 'Fiction', 'Contemporary', 'Audiobook']",3.98,33948,4190,"368 pages, Kindle Edition","First published July 25, 2023"
Immortality: A Love Story,['Dana Schwartz'],"Hazel Sinnett is alone and half convinced the events of the year before—the immortality, Beecham’s vial—were a figment of her imagination. She doesn’t even know if Jack is alive or dead. All she can really do now is treat patients and maintain Hawthornden Castle as it starts to decay around her.When saving a life leads to her arrest, Hazel seems doomed to rot in prison until a message intervenes: Hazel has been specifically requested to be the personal physician of Princess Charlotte, the sickly granddaughter of King George III. Soon Hazel is dragged into the glamour and romance of a court where everyone has something to hide, especially the enigmatic, brilliant members of a social club known as the Companions to the Death. As Hazel’s work entangles her more and more with the British court, she realizes that her own future as a surgeon isn't the only thing at stake for her. Malicious forces are at work in the monarchy, and Hazel may be the only one capable of setting things right.",Book 2 in the The Anatomy Duology series,"['Historical Fiction', 'Romance', 'Young Adult', 'Fantasy', 'Fiction', 'Historical', 'Audiobook']",3.95,18311,2816,"389 pages, Hardcover","First published February 28, 2023"
Highly Suspicious and Unfairly Cute,['Talia Hibbert'],"From the New York Times bestselling author of the Brown Sisters trilogy, comes a laugh-out-loud story about a quirky content creator and a clean-cut athlete testing their abilities to survive the great outdoors--and each other.Bradley Graeme is pretty much perfect. He's a star football player, manages his OCD well (enough), and comes out on top in all his classes . . . except the ones he shares with his ex-best friend, Celine.Celine Bangura is conspiracy-theory-obsessed. Social media followers eat up her takes on everything from UFOs to holiday overconsumption--yet, she's still not cool enough for the popular kids' table. Which is why Brad abandoned her for the in-crowd years ago. (At least, that's how Celine sees it.)These days, there's nothing between them other than petty insults and academic rivalry. So when Celine signs up for a survival course in the woods, she's surprised to find Brad right beside her.Forced to work as a team for the chance to win a grand prize, these two teens must trudge through not just mud and dirt but their messy past. And as this adventure brings them closer together, they begin to remember the good bits of their history. But has too much time passed . . . or just enough to spark a whole new kind of relationship?",,"['Romance', 'Young Adult', 'Contemporary', 'Fiction', 'Audiobook', 'Contemporary Romance', 'Young Adult Romance']",3.75,27130,6243,"336 pages, ebook","First published January 3, 2023"
Warrior Girl Unearthed,['Angeline Boulley'],"Perry Firekeeper-Birch was ready for her Summer of Slack but instead, after a fender bender that was entirely not her fault, she’s stuck working to pay back her Auntie Daunis for repairs to the Jeep.Thankfully she has the other outcasts of the summer program, Team Misfit Toys, and even her twin sister Pauline. Together they ace obstacle courses, plan vigils for missing women in the community, and make sure summer doesn’t feel so lost after all.But when she attends a meeting at a local university, Perry learns about the “Warrior Girl”, an ancestor whose bones and knife are stored in the museum archives, and everything changes. Perry has to return Warrior Girl to her tribe. Determined to help, she learns all she can about NAGPRA, the federal law that allows tribes to request the return of ancestral remains and sacred items. The university has been using legal loopholes to hold onto Warrior Girl and twelve other Anishinaabe ancestors’ remains, and Perry and the Misfits won’t let it go on any longer.Using all of their skills and resources, the Misfits realize a heist is the only way to bring back the stolen artifacts and remains for good. But there is more to this repatriation than meets the eye as more women disappear and Pauline’s perfectionism takes a turn for the worse. As secrets and mysteries unfurl, Perry and the Misfits must fight to find a way to make things right – for the ancestors and for their community.",,"['Young Adult', 'Mystery', 'Fiction', 'Contemporary', 'Audiobook', 'Fantasy', 'Thriller']",4.36,15356,2600,"400 pages, Hardcover","First published May 2, 2023"
"Imogen, Obviously",['Becky Albertalli'],"With humor and insight, #1 New York Times bestseller Becky Albertalli explores the nuances of sexuality, identity, and friendship. Imogen Scott may be hopelessly heterosexual, but she’s got the World’s Greatest Ally title locked down.She's never missed a Pride Alliance meeting. She knows more about queer media discourse than her very queer little sister. She even has two queer best friends. There's Gretchen, a fellow high school senior, who helps keep Imogen's biases in check. And then there's Lili—newly out and newly thriving with a cool new squad of queer college friends.Imogen's thrilled for Lili. Any ally would be. And now that she's finally visiting Lili on campus, she's bringing her ally A game. Any support Lili needs, Imogen's all in.Even if that means bending the truth, just a little.Like when Lili drops a tiny queer bombshell: she's told all her college friends that Imogen and Lili used to date. And none of them know that Imogen is a raging hetero—not even Lili’s best friend, Tessa.Of course, the more time Imogen spends with chaotic, freckle-faced Tessa, the more she starts to wonder if her truth was ever all that straight to begin with. . .",,"['Romance', 'LGBT', 'Young Adult', 'Contemporary', 'Queer', 'Lesbian', 'Fiction']",4.27,16497,3841,"432 pages, Hardcover","First published May 2, 2023"
The Davenports,['Krystal Marquis'],"In 1910, the Davenports are one of the few Black families of immense wealth and status in a changing United States, their fortune made through the entrepreneurship of William Davenport, a formerly enslaved man who founded the Davenport Carriage Company years ago. Now the Davenports live surrounded by servants, crystal chandeliers, and endless parties, finding their way and finding love—even where they're not supposed to.There is Olivia, the beautiful elder Davenport daughter, ready to do her duty by getting married. . . until she meets the charismatic civil rights leader Washington DeWight and sparks fly. The younger daughter, Helen, is more interested in fixing cars than falling in love—unless it's with her sister's suitor. Amy-Rose, the childhood friend turned maid to the Davenport sisters, dreams of opening her own business—and marrying the one man she could never be with, Olivia and Helen's brother, John. But Olivia's best friend, Ruby, also has her sights set on John Davenport, though she can't seem to keep his interest . . . until family pressure has her scheming to win his heart, just as someone else wins hers. The first book in a breathless new series, The Davenports offers a glimpse into a period of African American history often overlooked, while delivering a totally escapist, swoon-worthy read. Inspired by the real-life story of C.R. Patterson and his family, it's the tale of four determined and passionate young Black women discovering the courage to steer their own path in life—and love.",Book 1 in the The Davenports series,"['Historical Fiction', 'Romance', 'Young Adult', 'Historical', 'Fiction', 'Historical Romance', 'Audiobook']",3.67,9087,1966,"384 pages, Hardcover","First published January 31, 2023"
Reign,['Katharine McGee'],"A queen's life hangs in the balance, and her siblings’ decisions—about what to do, and most of all, who to love—could change the course of history. Romance. Duty. Power...only one can triumph in this stunning conclusion to the New York Times bestselling American Royals series.America's royal family is in shambles. Queen Beatrice is in a coma and Princess Samantha has gone missing—from the look of things, she ran away with her boyfriend, Lord Marshall Davis. Which means that Prince Jefferson is currently on the throne. For some in America, it's exactly what they wanted: a King ruling the country. And for Daphne Deighton, who has tricked Jefferson into dating her again, it's the ultimate dream come true. Surely this is all just temporary. Won’t Beatrice wake up and reclaim her rightful place? Samantha can't really be gone…can she? And Prince Jefferson will never truly be over his childhood crush, Nina Gonzalez. Right?For the Washington family, the stakes are higher than ever. Love might save the throne….if secrets don’t destroy everything first.",Book 4 in the American Royals series,"['Young Adult', 'Romance', 'Fiction', 'Audiobook', 'Contemporary', 'Chick Lit', 'Fantasy']",3.94,19204,2054,"415 pages, Paperback","First published August 29, 2023"
